epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.165,1.31182,2.07712,1.63336,0.75592,0.26787,0.25985,0.1079,1.87022,2.19775,2.27324,0.000415412,0.000415412,0.000415412
2,765.949,1.47095,1.6962,1.7796,0.78181,0.27726,0.28101,0.1296,1.74818,1.89851,2.15379,0.00079089,0.00079089,0.00079089
3,1129.09,1.43649,1.63924,1.74877,0.56548,0.35417,0.33548,0.15838,1.72827,1.77828,2.1448,0.00112512,0.00112512,0.00112512
4,1490.92,1.376,1.54303,1.69558,0.59437,0.33786,0.31129,0.15784,1.55684,1.61661,1.94134,0.00106437,0.00106437,0.00106437
5,1852.77,1.29411,1.43701,1.6291,0.82676,0.31283,0.34745,0.17167,1.65496,1.64593,1.98491,0.0010025,0.0010025,0.0010025
6,2215,1.23256,1.3358,1.58367,0.8808,0.34369,0.40281,0.21634,1.39719,1.32222,1.77762,0.000940625,0.000940625,0.000940625
7,2576.62,1.20357,1.28626,1.55721,0.71164,0.40733,0.40986,0.23022,1.4228,1.21408,1.78919,0.00087875,0.00087875,0.00087875
8,2938.18,1.1534,1.20365,1.5185,0.88343,0.35177,0.43638,0.25113,1.32154,1.15875,1.72514,0.000816875,0.000816875,0.000816875
9,3300.29,1.12438,1.1699,1.49095,0.8359,0.38408,0.48546,0.27222,1.37961,1.2478,1.72939,0.000755,0.000755,0.000755
10,3662.83,1.09549,1.12677,1.46709,0.74279,0.47609,0.49037,0.28142,1.26826,1.04385,1.6613,0.000693125,0.000693125,0.000693125
11,4024.82,1.18225,1.06045,1.54988,0.80211,0.41279,0.48259,0.27942,1.23401,1.00216,1.62791,0.00063125,0.00063125,0.00063125
12,4383.37,1.13483,0.99854,1.50905,0.78202,0.48649,0.54615,0.32789,1.18236,0.96123,1.57937,0.000569375,0.000569375,0.000569375
13,4742.52,1.09942,0.93614,1.47289,0.704,0.49496,0.54439,0.332,1.1779,0.8683,1.59329,0.0005075,0.0005075,0.0005075
14,5101.65,1.08425,0.91498,1.45629,0.72236,0.50459,0.54876,0.35571,1.13781,0.87292,1.56942,0.000445625,0.000445625,0.000445625
15,5462.07,1.03662,0.84953,1.41998,0.73953,0.5077,0.57667,0.36944,1.1096,0.84391,1.51605,0.00038375,0.00038375,0.00038375
16,5823.55,1.00588,0.81298,1.39467,0.83498,0.48848,0.57599,0.36269,1.11802,0.80145,1.52402,0.000321875,0.000321875,0.000321875
17,6184.4,0.98297,0.77893,1.36485,0.7528,0.50087,0.59743,0.39288,1.08255,0.81767,1.47552,0.00026,0.00026,0.00026
18,6544.78,0.94415,0.73542,1.33082,0.81984,0.54948,0.6561,0.42716,1.0617,0.7464,1.46062,0.000198125,0.000198125,0.000198125
19,6905.36,0.92794,0.69442,1.31635,0.77368,0.54386,0.60487,0.39828,1.04349,0.72204,1.46292,0.00013625,0.00013625,0.00013625
20,7265.6,0.89474,0.6626,1.28799,0.80428,0.55598,0.62795,0.4125,1.04131,0.717,1.44353,7.4375e-05,7.4375e-05,7.4375e-05
